Model,a.wght,nlevel,nu,NC,MAE_train,RMSE_train,Rsquared_train,MAE_test,RMSE_test,Rsquared_test,Runtime_train,Runtime_test
1,4.1,2,0.1,10,7.542529492,10.12224603,0.840655466,10.76058627,13.54843591,0.758666829,21.51372814,1.465903997
2,4.1,2,0.1,20,6.155645342,8.378213101,0.892901935,10.82477642,13.59504544,0.753482932,21.64494991,1.582887173
3,4.1,2,0.1,30,5.177883028,7.099821727,0.924576132,10.92162373,13.57582231,0.751160139,22.73880506,1.510488033
4,4.1,2,0.3,10,7.602284226,10.19717427,0.83818828,10.77010195,13.54907948,0.75868887,21.442132,1.535938025
5,4.1,2,0.3,20,6.253105317,8.497212673,0.889673997,10.81745217,13.59380046,0.753806726,22.38856506,1.427967072
6,4.1,2,0.3,30,5.288425409,7.245292885,0.921250394,10.90445244,13.56887826,0.751850647,23.00458097,1.45514822
7,4.1,2,0.5,10,7.675215663,10.28450926,0.835288902,10.78202097,13.55136776,0.758663131,22.46469402,1.701327085
8,4.1,2,0.5,20,6.35935079,8.62778963,0.88607853,10.8104183,13.59472344,0.754066727,22.08352184,1.420067072
9,4.1,2,0.5,30,5.404352552,7.398746289,0.917664823,10.88968833,13.56418255,0.752462969,23.11808109,1.405287981
10,4.1,4,0.1,10,5.082972249,6.968396639,0.927456035,10.84204398,13.47254222,0.754876474,25.05365396,2.902755022
11,4.1,4,0.1,20,3.254737052,4.499875224,0.97129558,10.86614054,13.41437419,0.753638705,33.52151799,2.877155066
12,4.1,4,0.1,30,2.036008991,2.842967309,0.989065406,11.03904251,13.52813198,0.747899797,64.01824379,3.028537035
13,4.1,4,0.3,10,5.3946394,7.371649173,0.918241265,10.79182141,13.44963166,0.75680207,27.91439414,2.881911993
14,4.1,4,0.3,20,3.82736736,5.26096357,0.960036004,10.76577917,13.38142027,0.756341481,33.04527783,2.940814018
15,4.1,4,0.3,30,2.725201019,3.771195092,0.980221442,10.8915705,13.41736586,0.753319021,59.56754088,2.856277227
16,4.1,4,0.5,10,5.750346387,7.832403798,0.907035827,10.73678407,13.43526542,0.75846366,24.76799893,2.748078823
17,4.1,4,0.5,20,4.446717923,6.083554326,0.945637134,10.76798337,13.39036823,0.757564279,30.87663603,2.783311844
18,4.1,4,0.5,30,3.478023843,4.7812199,0.967383248,10.77349912,13.38658377,0.755901639,56.022789,2.769612789
19,6,2,0.1,10,6.136200155,8.440398257,0.891006629,10.93843987,13.66192871,0.751486895,20.14460397,1.370230913
20,6,2,0.1,20,4.047997685,5.572415634,0.955087235,11.40214788,14.06674737,0.727062127,18.64285517,1.37206912
21,6,2,0.1,30,2.437117578,3.389680018,0.984315401,11.81310422,14.46194235,0.710419031,20.47670412,1.378049135
22,6,2,0.3,10,6.248379907,8.575642809,0.887289739,10.9013444,13.64341706,0.752613214,19.87832379,1.371891022
23,6,2,0.3,20,4.199625484,5.775619368,0.951517986,11.36565708,14.04426849,0.728361481,18.84679604,1.377254963
24,6,2,0.3,30,2.647965198,3.665380601,0.981537013,11.73255161,14.36725227,0.714130834,22.02723002,1.373819113
25,6,2,0.5,10,6.381239227,8.729745092,0.882979228,10.86286108,13.62880846,0.753620727,20.06947422,1.369320869
26,6,2,0.5,20,4.363966184,5.994700034,0.947515436,11.36275282,14.03330982,0.729244508,18.99412298,1.530102015
27,6,2,0.5,30,2.865904235,3.952331615,0.978383174,11.66799957,14.29501977,0.716947232,21.80450392,1.375745058
28,6,4,0.1,10,2.933111213,4.056702804,0.976969745,11.02250599,13.55979659,0.747160408,24.85343099,2.79631114
29,6,4,0.1,20,0.499590248,0.730108537,0.999337881,11.54774318,14.28207787,0.718261925,39.52943206,2.851804972
30,6,4,0.1,30,0.000588066,0.000821068,0.999999999,11.99404655,15.12548418,0.689400485,92.30872703,2.788089991
31,6,4,0.3,10,3.552322449,4.896250012,0.965671475,10.82728098,13.44235359,0.753382457,24.39831495,2.744441986
32,6,4,0.3,20,1.22419374,1.735132586,0.996094172,11.37626669,14.01069693,0.728304465,38.93411493,2.762001038
33,6,4,0.3,30,0.000718484,0.001040902,0.999999999,11.83276982,14.62839044,0.705800192,94.44250011,2.780408859
34,6,4,0.5,10,4.238465188,5.814499197,0.9505485,10.75045219,13.40867894,0.756647957,24.36842895,2.742825031
35,6,4,0.5,20,2.050777348,2.839216642,0.989123872,11.28438691,13.88080264,0.733746432,35.00939989,2.783059835
36,6,4,0.5,30,0.648630321,0.931513437,0.998916202,11.68468793,14.36535028,0.714772573,66.72060585,2.792822123
37,8,2,0.1,10,5.869334985,8.122677836,0.899555212,11.03226868,13.72042657,0.748109055,20.279953,1.371284008
38,8,2,0.1,20,3.667743623,5.02220014,0.964051404,11.65426668,14.33339055,0.715731958,20.37059808,1.384169102
39,8,2,0.1,30,1.865985992,2.632668382,0.990714669,12.13294686,14.91993243,0.692247736,24.57682586,1.412171841
40,8,2,0.3,10,5.988445189,8.256609618,0.895996113,10.98736863,13.69413875,0.749659701,20.15636587,1.37262702
41,8,2,0.3,20,3.813955898,5.228310521,0.96082734,11.61477688,14.29849399,0.717344351,18.71650386,1.369025946
42,8,2,0.3,30,2.092505797,2.933574232,0.988401691,12.055533,14.78686592,0.697563087,23.31739807,1.37381196
43,8,2,0.5,10,6.124564017,8.413347721,0.891770143,10.94177877,13.67353397,0.751007448,20.13929796,1.375396967
44,8,2,0.5,20,3.979246304,5.453412407,0.957146649,11.57625884,14.2795553,0.71836216,18.68943715,1.370855093
45,8,2,0.5,30,2.332389422,3.252842243,0.985646019,11.98618644,14.67975161,0.701805805,21.91000581,1.381157875
46,8,4,0.1,10,2.54559621,3.533699015,0.982794733,11.10585122,13.65687381,0.742830788,26.04609394,2.748918056
47,8,4,0.1,20,0.059598953,0.08820189,0.999990646,11.81051919,14.63159756,0.705213589,37.2727201,2.775326967
48,8,4,0.1,30,0.000545076,0.000745317,1,12.25151552,15.66253566,0.669892503,91.30742502,2.967125893
49,8,4,0.3,10,3.211549694,4.430747221,0.972230939,10.89953426,13.48670356,0.751028776,25.93720102,2.752699852
50,8,4,0.3,20,0.804921223,1.156055949,0.998310874,11.60075078,14.33077913,0.715750855,39.40238905,2.754049063
51,8,4,0.3,30,0.00064042,0.000904947,0.999999999,12.06511589,15.10240888,0.688523851,92.24232388,2.776885986
52,8,4,0.5,10,3.952187217,5.425459768,0.957332215,10.75589753,13.43061342,0.755156992,26.24994993,2.776270151
53,8,4,0.5,20,1.626407453,2.267973217,0.993205104,11.47110179,14.17489442,0.721678656,35.45062995,2.795501947
54,8,4,0.5,30,0.15344713,0.223964799,0.999939383,11.96891889,14.75659186,0.700131506,66.90676689,2.775185823
55,10,2,0.1,10,5.749314556,7.981471229,0.903271844,11.07543346,13.75386119,0.746245304,20.04049182,1.371623993
56,10,2,0.1,20,3.49005995,4.770052616,0.96780806,11.84759286,14.500383,0.708810145,20.34639812,1.375370026
57,10,2,0.1,30,1.596308895,2.274027021,0.993124544,12.291054,15.16483664,0.682498155,21.79796195,1.37176919
58,10,2,0.3,10,5.871591073,8.11472522,0.899787262,11.0306937,13.72313069,0.748001354,20.08853602,1.369354963
59,10,2,0.3,20,3.638484714,4.9747694,0.964785128,11.7606668,14.45691959,0.710694654,20.2336731,1.372536898
60,10,2,0.3,30,1.830898856,2.585516367,0.991066861,12.19944063,15.01433575,0.688583856,24.62957907,1.369688988
61,10,2,0.5,10,6.011581694,8.271281372,0.895635541,10.98608034,13.69923761,0.749511992,20.4734509,1.43307519
62,10,2,0.5,20,3.801789289,5.199940646,0.961302531,11.70481069,14.43155266,0.711889697,18.73887205,1.42144084
63,10,2,0.5,30,2.077312493,2.914402716,0.988579432,12.13160332,14.89003826,0.693566437,23.39139795,1.380377054
64,10,4,0.1,10,2.363970854,3.29142252,0.985187929,11.1444984,13.71040004,0.740485136,26.03168392,2.770490885
65,10,4,0.1,20,0.00070416,0.001033703,0.999999999,11.92273199,14.83462869,0.697688915,55.196702,2.783259869
66,10,4,0.1,30,0.000530345,0.000719948,1,12.39394269,15.92919732,0.659975102,92.28515601,2.778840065
67,10,4,0.3,10,3.049773633,4.210226391,0.975082948,10.93473035,13.51366613,0.749649738,25.99538112,2.750920057
68,10,4,0.3,20,0.611553154,0.883090359,0.999027526,11.74406863,14.5110734,0.708728796,43.3135581,2.774991989
69,10,4,0.3,30,0.000611665,0.000856067,0.999999999,12.17393545,15.34297374,0.679642736,91.65571213,2.814259052
70,10,4,0.5,10,3.812414429,5.237251368,0.960429093,10.76117263,13.44516783,0.754231202,26.06026006,2.742401123
71,10,4,0.5,20,1.433401482,2.006885302,0.994735847,11.60848869,14.34559771,0.714798591,37.35343504,2.909404993
72,10,4,0.5,30,0.000755419,0.001103679,0.999999999,12.09456663,14.96382557,0.692403806,97.95652103,3.584026098
